id	name	industries	investors	value_usd	last_funding_type	founded_date	num_employees	website	social_media_links	monthly_visits	about	address	country_code	cb_rank	full_description	image
innovation-enterprise	Innovation Enterprise	Digital Media, Enterprise	NULL	NULL	NULL	2009-01-01	51-100	https://www.theinnovationenterprise.com	https://www.facebook.com/Innovation-Enterprise-110017192431042, https://www.linkedin.com/company/ie---innovation-enterprise, https://twitter.com/iegroup	331	The leading global voice in enterprise innovation	New York, New York, United States, North America	US	774782	"Innovation Enterprise are a business media company specializing in enterprise innovation. They bring their exceptional cross-industry knowledge to the business community through a combination of digital media and live summits, providing organizations with cutting-edge insights to drive growth in the constantly changing business environment.

Through their key channels - Big Data, Analytics, Strategy, Innovation, Digital, Finance, & Operations - they connect industry leaders across the business spectrum, from leading Fortune 500 companies to disruptive and exciting new startups, facilitating the sharing of ideas through webinars, articles, white papers, and on-demand video content.

They also offer a range of additional media products, including lead generation services, custom events and custom research to fortune 500 clients."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1439178328/taonzvjhrefskt0zqpsd.png
greater-zurich-area	Greater Zurich Area	Location Based Services, Marketing, Trading Platform	NULL	NULL	NULL	1999-01-01	11-50	https://www.greaterzuricharea.com	https://www.facebook.com/greaterzuricharea, https://www.linkedin.com/company/greater-zurich-area, https://twitter.com/GreaterZurich	15365	Greater Zurich Area AG is the official Investment Promotion Agency for the economic region of Zurich, Switzerland.	Zürich, Zurich, Switzerland, Europe	CH	760913	"As the international contact partner for promotion and marketing of the Greater Zurich Area economic region, Greater Zurich Area AG (GZA) acts as a mediator between international companies looking to settle in the area and local interests and requirements.


GZA views itself as a service-oriented competency center with a clear focus on international companies that can offer high and especially sustainable value for the Zurich economic region."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/nkdliqh9nexyufcvibkx
mad-mimi	Mad Mimi	Computer, Email, Email Marketing	NULL	110000	seed	2007-01-01	11-50	http://madmimi.com	http://www.facebook.com/madmimi, http://www.linkedin.com/company/madmimi, http://twitter.com/madmimi	46923	Mad Mimi is an email marketing service enabling users to create, send and track email campaigns without using templates.	Brooklyn, New York, United States, North America	US	234377	Mad Mimi is an email marketing service that allows users to create, send and track email campaigns in a fresh novel way without using templates. Founded in 2007 by Gary Levitt and developed by Tobie Langel, Dave Hoover and Jeff Patton, Mad Mimi was launched in April of 2008.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397186093/b65215c2b522ace75cc16144be3c5527.png
owl	Owl	Finance, Financial Services, FinTech, Personal Finance	Empactful Capital LLC, Nick Ducoff	NULL	series_unknown	2012-01-01	1-10	http://owlinvest.com	https://www.linkedin.com/company/owl-invest/, https://twitter.com/owlinvest	NULL	Owl is a online financial advisors accessible and affordable to everyone, no matter the individual's current financial situation.	Chicago, Illinois, United States, North America	US	2467800	"Owl offers an application that enables its users to find information about events and buy tickets.

Owl also enables its users to book transportation to the locations where the events are. It also facilitates contests that enable its customers to win tickets for events.

Owl was founded in September 2015 and is headquartered in Villeurbanne, France."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397186258/e9ab73afdc0d65d5e08ebfbec627ea7a.png
celsius-network	Celsius Network	Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech	Caisse de Depot et Placement du Quebec, WestCap, tokentus investment AG, gumi Cryptos Capital (gCC), Tether Operations Limited, Alpha Transform Holdings, Disrupt Ventures, Kyle Wang	903796592	corporate_round	2017-01-01	501-1000	https://celsius.network	https://www.facebook.com/celsiusnetwork, https://www.linkedin.com/company/celsiusnetwork, https://www.twitter.com/celsiusnetwork	254046	Celsius Network is a blockchain-based lending platform that is accessible through a free mobile app.	London, England, United Kingdom, Europe	GB	61706	"Celsius is a blockchain-based marketplace platform where membership provides access to curated financial services that are not available through traditional financial institutions. Celsius specializes in the fields of consumer lending, fintech, and financial services.

It was founded in 2017 and headquartered in London, England."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/qovhku6bq54xzx0m8qc3
globetrotr-com	GlobeTrotr.com	Adventure Travel, Mobile, Social Media, Travel	Jeffrey Silverman	50000	angel	2012-01-01	1-10	http://www.globetrotr.com	http://twitter.com/globetrotr_com	NULL	Globetrotr.com is a location-based social discovery application for the travel activities and tour market.	New York, New York, United States, North America	US	805354	Globetrotr is a social location based discovery application for the Travel Activities and Tour Market	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397185055/c4463747aaaf066fcfaa6f9ce4bf7410.jpg
gate2shop	Gate2Shop	E-Commerce, Payments	NULL	NULL	NULL	2007-01-01	51-100	http://www.g2s.com	NULL	NULL	Gate2Shop provides turn-key solutions for small- to medium-sized e-commerce businesses.	London, England, United Kingdom, Europe	GB	323621	"Gate2Shop is an ecommerce company that specializes in technology-based payment solutions. The company optimize conversion and increase revenue through smart payments with a global reach. Gate2Shop utilizes SafeCharge technologies, a payment provider specializing in fraud prevention and risk management.

It offers a wide array of pre-integrated international payment methods. The company provides services such as risk management, account management, tech support, and billing support. Gate2Shop is equipped with technologies such as worldwide payments, mobile payments, checkout optimization, and data analytics.

Gate2Shop is based in London, England."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397185464/b61c89cf4e4506439bdef58bc9249f7d.png
defi-ventures	WonderFi	Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software	Alameda Research, Canaccord Genuity Group, Alameda Research, Kevin O'Leary, Argo Blockchain, O'Leary Ventures, Bigg Digital Assets, Animal Capital, Leonard Latchman, Josh Richards	83781218	post_ipo_equity	2021-02-01	51-100	https://www.wonder.fi	https://www.linkedin.com/company/wonderfi, https://www.twitter.com/WonderFi	9966	WonderFi is a technology company that provides individuals with access to financial services through DeFi.	Toronto, Ontario, Canada, North America	CA	1347	WonderFi is a technology company with the mission of creating better access to DeFi through the core principles of simplicity and education. WonderFi’s platform will serve as a trusted gateway to the new financial system and it aims to enable and empower individuals to use DeFi in a streamlined way.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/fn7xole0cyvwzmdkccg5
apex-clearing-corporation	APEX Clearing Corporation	Financial Services	NULL	NULL	NULL	2012-01-01	101-250	https://www.apexclearing.com/	https://www.facebook.com/apexclearing, https://www.linkedin.com/company-beta/3008681/?pathWildcard=3008681	78150	Apex is an independent, full-service clearing firm helping power the digital revolution in financial services.	Dallas, Texas, United States, North America	US	153732	Apex is an independent, full-service clearing firm helping power the digital revolution in financial services.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1492328677/l824qldpymuqebfh8lgi.png
hometogo	HomeToGo	Marketplace, Travel, Vacation Rental	ABACON CAPITAL, Global Founders Capital, Perpetual Growth, Princeville Capital, Lakestar, DN Capital, Acton Capital, Insight Partners, Insight Partners, DN Capital	176652718	series_unknown	2014-01-01	501-1000	https://www.hometogo.com/	https://www.facebook.com/hometogo, https://www.linkedin.com/company/hometogo, https://twitter.com/hometogo	961438	HomeToGo is a marketplace with the world's largest selection of vacation rentals	Berlin, Berlin, Germany, Europe	DE	1467	"HomeToGo has the world's largest selection of vacation rentals, listing millions of offers from thousands of trusted partners, including Airbnb, Booking.com, Vrbo and TripAdvisor. From apartments, cabins, boats, castles, hotels, hostels, and everything in between, HomeToGo combines price, destination, dates and amenities to find the perfect accommodation for any trip worldwide.

Founded in 2014, HomeToGo employs more than 350 people and manages 23 local apps & websites across Europe, North America, South America, Australia and Asia-Pacific. HomeToGo also operates brands such as Tripping.com and Wimdu. To learn more, visit www.hometogo.com or download the HomeToGo app.

HomeToGo's investors include Insight Venture Partners, Lakestar, Princeville Global, DN Capital, Acton Capital Partners, Global Founders Capital, Perpetual Investors, and mojo.capital,. The company has raised more than $170 million in total funding."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/kobuq9o8ycirlunhnu77
