id	name	industries	founded_date	num_employees	website	about
innovation-enterprise	Innovation Enterprise	Digital Media, Enterprise	2009-01-01	51-100	https://www.theinnovationenterprise.com	The leading global voice in enterprise innovation
greater-zurich-area	Greater Zurich Area	Location Based Services, Marketing, Trading Platform	1999-01-01	11-50	https://www.greaterzuricharea.com	Greater Zurich Area AG is the official Investment Promotion Agency for the economic region of Zurich, Switzerland.
mad-mimi	Mad Mimi	Computer, Email, Email Marketing	2007-01-01	11-50	http://madmimi.com	Mad Mimi is an email marketing service enabling users to create, send and track email campaigns without using templates.
owl	Owl	Finance, Financial Services, FinTech, Personal Finance	2012-01-01	1-10	http://owlinvest.com	Owl is a online financial advisors accessible and affordable to everyone, no matter the individual's current financial situation.
celsius-network	Celsius Network	Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech	2017-01-01	501-1000	https://celsius.network	Celsius Network is a blockchain-based lending platform that is accessible through a free mobile app.
globetrotr-com	GlobeTrotr.com	Adventure Travel, Mobile, Social Media, Travel	2012-01-01	1-10	http://www.globetrotr.com	Globetrotr.com is a location-based social discovery application for the travel activities and tour market.
gate2shop	Gate2Shop	E-Commerce, Payments	2007-01-01	51-100	http://www.g2s.com	Gate2Shop provides turn-key solutions for small- to medium-sized e-commerce businesses.
defi-ventures	WonderFi	Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software	2021-02-01	51-100	https://www.wonder.fi	WonderFi is a technology company that provides individuals with access to financial services through DeFi.
apex-clearing-corporation	APEX Clearing Corporation	Financial Services	2012-01-01	101-250	https://www.apexclearing.com/	Apex is an independent, full-service clearing firm helping power the digital revolution in financial services.
hometogo	HomeToGo	Marketplace, Travel, Vacation Rental	2014-01-01	501-1000	https://www.hometogo.com/	HomeToGo is a marketplace with the world's largest selection of vacation rentals
ibacon	Ibacon	Environmental Consulting, Market Research, Pharmaceutical	1994-01-01	51-100	https://www.ibacon.com/	Ibacon is an independent contract research institute that serves the global chemical and pharmaceutical industry.
citi-ventures	Citi Ventures	Finance, Financial Services, Venture Capital	2008-01-01	51-100	https://www.citi.com/ventures	Citi Ventures invests in and collaborates with startups that are transforming financial services.
expii-inc	Expii	Crowdsourcing, Education, Internet, Social Media, Video	2014-01-07	11-50	https://www.expii.com	Crowdsourced interactive learning
imbaco-furnishers	IMBACO Furnishers	NULL	2009-01-01	101-250	NULL	IMBACO Furnishers is a furniture and interior design company.
amberdata	Amberdata	Blockchain, Cryptocurrency, Developer APIs, Developer Platform, FinTech	2017-08-01	51-100	http://www.amberdata.io	Amberdata is a blockchain and cryptoasset data company that offers tools for exchanges, wallets, traders, and developers.
pen-and-paper-ai	Pen and Paper AI	Generative AI, Information Technology, Software	2022-10-01	1-10	https://www.penandpaper.ai/	Pen and Paper AI is an end-to-end content management system that enables users to create AI content.
payzen-6da3	PayZen	Financial Services, FinTech, Health Care, Payments, Software	2019-07-01	51-100	https://payzen.com	PayZen is a healthcare fintech startup tackling healthcare affordability by using financial technology, AI, and machine learning.
newired	Newired	CRM, Customer Service, Enterprise Resource Planning (ERP), Information Technology, Marketing, SaaS, Software, Training	2017-01-01	11-50	https://www.newired.com/	We build 100% code-free tools to help companies train and onboard users on web-based applications.
simplex-3	Simplex	Bitcoin, Cryptocurrency, E-Commerce, Financial Services, FinTech, Fraud Detection, Payments	2014-04-28	101-250	http://www.simplex.com	Simplex is an EMI licensed Fintech company providing fraudless payment processing solutions to online merchants
women-in-identity	Women in Identity	Cyber Security, Identity Management, Information Technology, Non Profit, Software	2017-01-01	1-10	https://womeninidentity.org/	Women in Identity is an open forum for women in identity to bounce ideas off each other, collaborate, and gain support.
cognizant-technology-solutions	Cognizant	Consulting, Industrial Automation, Information Technology, Software, Software Engineering	1994-01-26	10001+	https://www.cognizant.com	Cognizant is a professional services company that helps clients alter their business, operating, and technology models for the digital era.
percepto	Percepto	Drones, Enterprise, Industrial Automation, Robotics, Software	2014-01-01	101-250	http://percepto.co	Percepto is a developer of autonomous drone technology for surveillance and inspections.
lemonade	Lemonade	Artificial Intelligence (AI), Financial Services, Insurance, InsurTech	2015-01-01	1001-5000	https://www.lemonade.com	Lemonade is a digital insurance company that uses artificial intelligence and behavioral economics.
colorchip	ColorChip	Manufacturing, Optical Communication, Telecommunications	2001-01-01	101-250	http://www.color-chip.com	ColorChip designs and manufactures optical sub-systems and components for the datacom and telecom markets.
all-space	ALL.SPACE	Satellite Communication	2013-01-01	101-250	http://www.all.space	ALL.SPACE has developed the 5th generation smart terminal, capable of linking with all satellites, all networks, in all orbits, all at once.
viola-fintech	Viola FinTech	Finance, Financial Services, FinTech, Venture Capital	2017-01-01	11-50	https://www.viola-group.com/fund/violafintech	Viola FinTech is a cross-stage venture fund that invests in global fintech companies alongside venture investors.
carlease-com	Carlease	Automotive, E-Commerce, Fleet Management	2017-12-05	11-50	https://www.carlease.com	Leasing a car has never been easier. You find the perfect car – we’ll find the best financing and deliver to your door.
tapreplay	tapReplay	E-Commerce Platforms, Film, Shopping, TV, Video	2016-01-01	11-50	http://www.tapreplay.com/	Empowering the Most Passionate Content Creators to Share Exceptional Experiences on Apple TV
dynamovc	Dynamo	Logistics, Robotics, Supply Chain Management, Transportation	2016-03-01	1-10	http://dynamo.vc	Dynamo invests in founders building technology businesses in supply chain and mobility.
fonbnk	Fonbnk	Blockchain, Cryptocurrency, FinTech, Telecommunications, Web3, Wireless	2021-07-06	11-50	https://www.fonbnk.com/	Fonbnk is a bridge to Web3 targeting mobile-first cash-based economies.
lean-in	Lean In	Education, Non Profit, Women's	2013-01-01	11-50	http://leanin.org	LeanIn.Org is a nonprofit organization that aims to offer women with inspiration and support to help them achieve their goals.
treasure-data	Treasure Data	Analytics, Big Data, Cloud Computing, Data Management, Marketing Automation, Software	2011-01-01	501-1000	http://www.treasuredata.com	Treasure Data is a software development company that develops a cloud-based data analytics platform for data management.
fintlv-ventures	FinTLV Ventures	Financial Services, FinTech, Insurance, InsurTech	2018-06-30	11-50	http://www.fintlv.com	FinTLV is an Insurtech VC company that provides financial services.
baird-capital	Baird Capital	Financial Services, Venture Capital	1919-01-01	51-100	https://www.bairdcapital.com/	Baird Capital makes venture capital, growth equity, and private equity investments in strategically-targeted sectors around the world.
j-ventures-f370	J-Ventures	Construction, Education, FinTech, Marketing, Medical, Retail, Web Development	2016-01-01	251-500	http://www.j-ventures.com	LP Driven Venture Capital Fund
prime-trust	Prime Trust	Banking, Blockchain, Cryptocurrency, Financial Services, FinTech	2016-04-10	251-500	https://www.primetrust.com	Prime Trust powers innovation in the digital economy by providing fintech and digital asset innovators with financial infrastructure.
tiggy	Tiggy	Delivery, Delivery Service, E-Commerce, Food Delivery, Grocery, Same Day Delivery	2021-01-01	101-250	https://hello.gotiggy.com	15 minute grocery delivery on a mission to forever change the way we buy everyday essentials. Now live in Vancouver!
connected-insurance	Connected Insurance	FinTech, Insurance, InsurTech	2019-01-01	1-10	https://connectedinsurance.ai	CI helps businesses set insurance into their offerings for value proposition through event sourcing technology and real-time data analysis.
digital-horizon	Launchbay Capital	E-Commerce, Finance, Financial Services, FinTech, Venture Capital	2023-12-01	11-50	https://launchbaycapital.com	Multi-stage investment firm committed to creating liquidity in the venture ecosystem
happy-farm-business-incubator	Happy Farm Business Accelerator	Consulting, Incubators, Venture Capital	2012-07-26	11-50	http://www.happyfarm.com.ua/	Happy Farm Business Accelerator is a business incubator that provides business development services for startup teams.
izmaco	Izmaco	Building Maintenance, Property Management, Real Estate, Real Estate Investment, Rental Property, Residential	2019-01-01	1-10	https://www.izmaco.com	Izmaco invests in rental properties and provides real estate rental, management, and maintenance services.
spruce-health	Spruce Health	Fitness, Health Care, Information and Communications Technology (ICT), Software	2013-01-01	11-50	https://www.sprucehealth.com/	Spruce thinks of a better way to see the doctor by using their platform for communication.
somersault-ventures	Somersault Ventures	EdTech, FinTech, Venture Capital	2022-12-01	1-10	https://somersault.vc	Somersault Ventures is a VC fund investing in SaaS, marketplaces, EdTech, FinTech, and entertainment.
careship	Careship	Health Care, Home Services, Wellness	2015-08-01	11-50	https://www.careship.de	Careship helps families find the right caregiver for their loved ones.
snag-co	Snagajob	Human Resources, Internet, Recruiting, SaaS	1999-01-01	101-250	https://www.snagajob.com	Snagajob is the platform for hourly work, with 100 million registered hourly workers and 470,000 employer locations nationwide.
equitybee	Equitybee	Financial Exchanges, Financial Services, Personal Finance	2018-01-01	51-100	https://equitybee.com/	Get funding to exercise your options, plus an upfront payment, all while retaining ownership.
porch	Porch Group	Home Improvement, Home Services, Information Technology, Internet, Software	2013-01-01	1001-5000	https://www.porchgroup.com	Porch Group is a vertical software platform for residential environments.
dot-complicated	Dot Complicated	Association, Communities, Lifestyle, News	2012-12-11	NULL	http://dotcomplicated.co/content/	Dot Complicated is an online community sending newsletters to users with its latest updates on digital solutions, tech trends, and more.
blackrock	BlackRock	Asset Management, Crowdfunding, Financial Services, FinTech, Real Estate Investment	1988-01-01	10001+	http://www.blackrock.com	BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.
bank-of-america	Bank of America	Asset Management, Banking, Finance, Financial Services, FinTech	1998-01-01	10001+	https://www.bankofamerica.com	Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.
ibacos	IBACOS	Construction, Energy Efficiency, Quality Assurance, Risk Management	1991-01-01	51-100	http://www.ibacos.com/	BACOS plays a leading role in driving innovation in the housing industry.
ibacom	IbaCom	Internet, Satellite Communication, Telecommunications, Video	NULL	NULL	https://ibacom.com.mx	IbaCom provides telecommunications services, including satellite internet across Mexico, and advertising services.
truffle-suite	Truffle Suite	Blockchain, Computer, Information Technology, Software	2015-01-01	11-50	https://www.trufflesuite.com	Truffle Suite provides world class development environment for blockchain dapps.
credifi	CrediFi	Commercial Real Estate, Financial Services, FinTech, PropTech, Risk Management, Software	2014-01-01	101-250	http://www.credifi.com	CredFi is a technology company empower commercial real estate professionals with the data and insights they need to make informed decisions.
standard-bots	Standard Bots	Artificial Intelligence (AI), Information Technology, Robotics, Software	2015-01-01	11-50	https://standardbots.com	Standard Bots offers advanced automation solutions, including the RO1 robot, to help businesses streamline their operations.
chiliz	Chiliz	Blockchain, Digital Entertainment, eSports, Sports	2012-01-01	251-500	https://www.chiliz.com	Chiliz powers the Socios.com fan engagement platform built on the Chiliz blockchain infrastructure
